mechanism,kappa,cohort_replicate,unit_index,family,phi,lambda,neff_p,neff_var,threshold_calibration_max_error,theta_obs,theta_native_null_median,delta_theta,p_native,native_reject_005,delta_positive,native_null_valid_fraction,native_spectral_error_median,native_count_exact_fraction,native_group_count_exact_fraction,injection_monthly_multiset_exact,injection_monthly_event_count_exact,annual_count_mean,annual_count_sd,annual_count_ac1,monthly_indicator_ac1,monthly_indicator_ac12
history_feedback,1.0,18,4,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.5884310029700708,0.7551040788621177,0.1666730758920469,0.1057884231536926,False,True,1.0,0.0140945212145875,1.0,1.0,True,True,3.0597609561752988,2.087816665541739,0.5730208325130027,0.6451249070649084,0.6371005408535736
history_feedback,1.0,18,5,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8654884318766067,0.8402723999596735,-0.0252160319169332,0.5688622754491018,False,False,1.0,0.0053699502755097,1.0,1.0,True,True,2.9243027888446216,1.9491153913294412,0.5043334198599677,0.6160203515944497,0.5907551989605425
history_feedback,1.0,18,6,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.5934422249965321,0.7947074157820538,0.2012651907855217,0.0798403193612774,False,True,1.0,0.007309668976751,1.0,1.0,True,True,3.0597609561752988,1.765205523577244,0.515727154118836,0.5759022567198505,0.620689804430215
history_feedback,1.0,18,7,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.755073051948052,0.9043715711779312,0.1492985192298792,0.1696606786427145,False,True,1.0,0.0072866532229086,1.0,1.0,True,True,3.0,1.9698929127364773,0.4435406427062391,0.6268359747500455,0.5842219243587696
history_feedback,1.0,19,0,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7509570082449941,0.7224864841901426,-0.0284705240548515,0.5948103792415169,False,False,1.0,0.0070819701202491,1.0,1.0,True,True,3.055776892430279,2.1116439881507327,0.4935914897067835,0.6529348778014062,0.6176325994174452
history_feedback,1.0,19,1,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.5874006116207952,0.8566277374234691,0.2692271258026739,0.0518962075848303,False,True,1.0,0.0091939969550156,1.0,1.0,True,True,2.8326693227091635,2.002958082908274,0.422229991175952,0.6384212795152486,0.5769675263829452
history_feedback,1.0,19,2,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7323634914308489,0.8117420218235067,0.0793785303926578,0.3233532934131736,False,True,1.0,0.0057023544067854,1.0,1.0,True,True,3.119521912350597,1.92944715016938,0.4127543925736269,0.6097207387665917,0.6047984681205083
history_feedback,1.0,19,3,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.5293308317698562,0.7614956231307564,0.2321647913609001,0.0578842315369261,False,True,1.0,0.0082198951530659,1.0,1.0,True,True,2.944223107569721,1.875846819137541,0.4454075168436026,0.6109808505112039,0.5990756317937794
history_feedback,1.0,19,4,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.6257108212075598,0.777448626753606,0.1517378055460462,0.1357285429141716,False,True,1.0,0.0101206675356141,1.0,1.0,True,True,2.760956175298805,2.043020740737445,0.4923949302739895,0.6434947814017359,0.6105569686722744
history_feedback,1.0,19,5,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,0.810250946969697,0.7919495046405993,-0.0183014423290976,0.5528942115768463,False,False,1.0,0.0102713183660262,1.0,1.0,True,True,3.03187250996016,1.897518845389117,0.5448600336130064,0.5803482290662877,0.6075324559760927
