mechanism,kappa,cohort_replicate,n_units,positive_units,sign_gate_6of8,aggregate_stat_mean_delta,aggregate_p,aggregate_reject_005,full_gate_pass,mean_delta_theta,median_delta_theta,mean_theta_obs,mean_theta_null_center,unit_native_reject_fraction,unit_positive_fraction,native_null_valid_fraction_min,native_spectral_error_median,native_count_exact_fraction_min,native_group_count_exact_fraction_min,injection_multiset_exact_all,injection_event_count_exact_all
persistent_regime_alignment,0.6,5,8,5,False,0.0098904282317088,0.3493013972055888,False,False,0.0098904282317088,0.0596155651491097,0.5275325596955971,0.5374229879273058,0.0,0.625,1.0,0.0120736891577881,1.0,1.0,True,True
persistent_regime_alignment,0.6,6,8,4,False,-0.004137908414512,0.4810379241516966,False,False,-0.004137908414512,0.0063248331247701,0.5412035729835414,0.5370656645690294,0.0,0.5,1.0,0.0149320283354536,1.0,1.0,True,True
persistent_regime_alignment,0.6,7,8,6,True,0.0364129658727629,0.1397205588822355,False,False,0.0364129658727629,0.0531488405993032,0.4827452044123093,0.5191581702850723,0.125,0.75,1.0,0.0114509903330426,1.0,1.0,True,True
persistent_regime_alignment,0.6,8,8,4,False,-0.0400392147545498,0.8003992015968064,False,False,-0.0400392147545498,-0.0233178496150698,0.6387338289315954,0.5986946141770456,0.0,0.5,1.0,0.0121534240087875,1.0,1.0,True,True
persistent_regime_alignment,0.6,9,8,5,False,0.0320366933115187,0.1816367265469061,False,False,0.0320366933115187,0.0509447355973493,0.4800568292870129,0.5120935225985317,0.125,0.625,1.0,0.0101103787949287,1.0,1.0,True,True
persistent_regime_alignment,0.6,10,8,1,False,-0.0722453543609814,0.9481037924151696,False,False,-0.0722453543609814,-0.0521992362295273,0.6095888032083788,0.5373434488473974,0.0,0.125,1.0,0.0150482081062129,1.0,1.0,True,True
persistent_regime_alignment,0.6,11,8,5,False,-0.0179248346832183,0.6287425149700598,False,False,-0.0179248346832183,0.0166014906782231,0.5461499823617211,0.5282251476785027,0.0,0.625,1.0,0.0143827101842133,1.0,1.0,True,True
persistent_regime_alignment,0.6,12,8,6,True,0.0577260063119766,0.0778443113772455,False,False,0.0577260063119766,0.0505176887767245,0.4712952555084372,0.5290212618204139,0.25,0.75,1.0,0.0137163176789964,1.0,1.0,True,True
persistent_regime_alignment,0.6,13,8,4,False,-0.032482734554328,0.7564870259481038,False,False,-0.032482734554328,-0.0072188566759381,0.5722205351151655,0.5397378005608373,0.125,0.5,1.0,0.0125576383415044,1.0,1.0,True,True
persistent_regime_alignment,0.6,14,8,5,False,0.0489466441290762,0.0958083832335329,False,False,0.0489466441290762,0.0690039040037987,0.5079225572182585,0.5568692013473346,0.125,0.625,1.0,0.0112671842099582,1.0,1.0,True,True
