statistic,obs_stat,p_oracle,p_native,p_index,rej_oracle,rej_native,rej_index,null_mean_oracle,null_sd_oracle,null_mean_native,null_sd_native,null_mean_index,null_sd_index,wasserstein_native_oracle,wasserstein_index_oracle,wasserstein_native_oracle_scaled,wasserstein_index_oracle_scaled,phi,rep,condition,condition_type,lambda_value,tau,native_spectral_error_median,index_spectral_error_median
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9640533458897953,0.07618990395513191,0.9829110967651046,0.05422285303900443,0.9830693548557815,0.0497341226973731,0.018857750875309203,0.01901600896598611,0.24750983918308256,0.24958699222385952,0.2,1,soft_lam0_tau2_cubic,soft,0.0,2.0,0.0002181838979254009,0.00019885939639025077
ntv,1.1747534170911156,0.852,0.872,0.772,False,False,False,1.1262058078243486,0.042131057437114414,1.1403482389270596,0.02851888147816719,1.1615246181193604,0.017791286335336148,0.017235291589376485,0.037256493860836785,0.40908756242594185,0.8842999945217731,0.2,1,soft_lam0_tau1_cubic,soft,0.0,1.0,0.0002181838979254009,0.0001847728505987583
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9679817384617462,0.070222790125385,0.9800493714641456,0.06158758727624667,0.9873834740849192,0.04441658284319135,0.012707517127268909,0.01940173562317314,0.18096001461319378,0.2762883045309184,0.2,1,soft_lam0_tau1_cubic,soft,0.0,1.0,0.0002181838979254009,0.0001847728505987583
ntv,1.1812609858119874,0.872,0.924,0.584,False,False,False,1.126593557000877,0.044467089380099765,1.1393090546504756,0.030857477616755523,1.1769695695069673,0.01679398720546916,0.016741470927808755,0.05145505415548018,0.3764912694128575,1.1571491382232837,0.2,1,soft_lam0_tau0.5_cubic,soft,0.0,0.5,0.0002181838979254009,0.0001642291436345975
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9711472932945042,0.06563878032987028,0.9786630631825818,0.05582318996909391,0.9914211657098998,0.03446972301501011,0.007585387810586503,0.0202738724153955,0.11556259535088613,0.3088703402700104,0.2,1,soft_lam0_tau0.5_cubic,soft,0.0,0.5,0.0002181838979254009,0.0001642291436345975
ntv,1.1879699228741947,0.896,0.948,0.552,False,False,False,1.1270053413794623,0.047477175949735995,1.1384674203448542,0.03256936952076473,1.1851698983180345,0.017475390633923726,0.016241515819819263,0.059295221977521594,0.3420910257386439,1.2489205769167346,0.2,1,soft_lam0_tau0.25_cubic,soft,0.0,0.25,0.0002181838979254009,0.00020129930099029294
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9693373943040748,0.07006962728103897,0.9832059897200959,0.04858687807662774,0.9850999639623097,0.04403085495061363,0.01386859541602106,0.015762569658234804,0.19792591960559694,0.22495580852761576,0.2,1,soft_lam0_tau0.25_cubic,soft,0.0,0.25,0.0002181838979254009,0.00020129930099029294
ntv,1.1874542599790154,0.892,0.908,0.648,False,False,False,1.127947483117646,0.04886833665782244,1.1380562750514394,0.03384059719189227,1.1796955745249356,0.017280474217458063,0.014109410921996026,0.05402041780740729,0.28872296228927424,1.1054277984875949,0.2,1,soft_lam0_tau0.1_cubic,soft,0.0,0.1,0.0002181838979254009,0.0002039508491871329
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9709693483199708,0.06818635014203066,0.9814725488525115,0.05318633612920801,0.9870486413639377,0.046468159428011524,0.01050320053254061,0.016079293043966766,0.15403670251689194,0.2358139570526059,0.2,1,soft_lam0_tau0.1_cubic,soft,0.0,0.1,0.0002181838979254009,0.0002039508491871329
ntv,1.162766604437171,0.86,0.852,0.688,False,False,False,1.1127250348792768,0.05098776932912569,1.1212168923283883,0.03699434860411036,1.1526625399129333,0.01911785870044121,0.01268168402341573,0.04422128308903062,0.24872011837889102,0.8672919735629648,0.2,1,count_lam0_cubic,hard,0.0,0.0,0.0002181838979254009,0.002183052138057441
