condition,condition_type,lambda_value,tau,statistic,phi,n,oracle_reject_rate,native_reject_rate,index_reject_rate,index_only_vs_native,native_only_vs_index,index_only_count,native_only_count,paired_exact_p,index_only_vs_oracle,oracle_only_vs_index,median_null_sd_oracle,median_null_sd_native,median_null_sd_index,median_sd_ratio_native_oracle,median_sd_ratio_index_oracle,median_wasserstein_native_oracle_scaled,median_wasserstein_index_oracle_scaled,median_index_spectral_error,median_native_spectral_error
soft_lam4_tau1_cubic,soft,4.0,1.0,ntv,pooled,300,0.05,0.05333333333333334,0.04,0.03,0.043333333333333335,9,13,0.5234670639038086,0.03,0.04,0.04147069058334681,0.029083097971782587,0.017657454351798916,0.7017274115721182,0.4268934078813719,0.5170386325621483,0.6866968126579291,0.00018825720730604765,0.00023176472248336748
soft_lam4_tau1_cubic,soft,4.0,1.0,ferro_segers,pooled,300,0.06,0.056666666666666664,0.07333333333333333,0.02666666666666667,0.01,8,3,0.2265625,0.023333333333333334,0.01,0.07895147112219332,0.07562184408973038,0.07351035136139306,0.9488051494998873,0.9024100757022566,0.14322538066717613,0.1636315468309284,0.00018825720730604765,0.00023176472248336748
soft_lam4_tau0.5_cubic,soft,4.0,0.5,ntv,pooled,300,0.043333333333333335,0.06,0.03333333333333333,0.02,0.04666666666666667,6,14,0.11531829833984375,0.023333333333333334,0.03333333333333333,0.041685720921698394,0.03244706466112281,0.01773604497677904,0.7855653565092331,0.422282210311145,0.44676394696208277,0.6746466350868285,0.00018497944159428273,0.00023176472248336748
soft_lam4_tau0.5_cubic,soft,4.0,0.5,ferro_segers,pooled,300,0.056666666666666664,0.05,0.07,0.023333333333333334,0.0033333333333333335,7,1,0.0703125,0.016666666666666666,0.0033333333333333335,0.07698547754190907,0.0746629594112074,0.07101957957334522,0.9494185048697645,0.9005250723304963,0.13500698484164877,0.1434384732523532,0.00018497944159428273,0.00023176472248336748
soft_lam4_tau0.25_cubic,soft,4.0,0.25,ntv,pooled,300,0.05,0.04666666666666667,0.03,0.016666666666666666,0.03333333333333333,5,10,0.30175781249999994,0.02,0.04,0.041797086241095266,0.03451755193624145,0.017592257687583483,0.8332702304536158,0.4207639879777222,0.3937775009383365,0.6803408565304783,0.00019293029549747275,0.00023176472248336748
soft_lam4_tau0.25_cubic,soft,4.0,0.25,ferro_segers,pooled,300,0.043333333333333335,0.043333333333333335,0.05,0.016666666666666666,0.01,5,3,0.7265625,0.013333333333333334,0.006666666666666667,0.0791285137701929,0.07470636780654435,0.07138216526824667,0.9496048708829448,0.8991703591567884,0.1174236309485767,0.14296193314345468,0.00019293029549747275,0.00023176472248336748
soft_lam4_tau0.1_cubic,soft,4.0,0.1,ntv,pooled,300,0.03333333333333333,0.05,0.043333333333333335,0.03,0.03666666666666667,9,11,0.8238029479980469,0.03666666666666667,0.02666666666666667,0.042037207988074005,0.03580756483234722,0.017568050590510684,0.8578377198612284,0.418709516951173,0.3586910284047128,0.6853597002696441,0.000245668585351804,0.00023176472248336748
soft_lam4_tau0.1_cubic,soft,4.0,0.1,ferro_segers,pooled,300,0.06333333333333334,0.06,0.07,0.02,0.01,6,3,0.5078125,0.016666666666666666,0.01,0.0802622722614238,0.07909457817556267,0.071588025282325,0.981468890504989,0.8700714269444951,0.11149602552321214,0.15110498578795278,0.000245668585351804,0.00023176472248336748
count_lam4_cubic,hard,4.0,0.0,ntv,pooled,300,0.03666666666666667,0.03666666666666667,0.16,0.14333333333333334,0.02,43,6,5.7277652842913085e-08,0.14,0.016666666666666666,0.044036906526188746,0.038527868272977314,0.01894450897056916,0.8808674790894899,0.43669317380430617,0.31677597234528887,0.725688559837049,0.0027926471282627673,0.00023176472248336748
count_lam4_cubic,hard,4.0,0.0,ferro_segers,pooled,300,0.05333333333333334,0.03666666666666667,0.23333333333333334,0.19666666666666666,0.0,59,0,3.469446951953614e-18,0.18,0.0,0.13475892715247978,0.13263242783520116,0.07190097393219366,0.9769132856875212,0.5441604098132597,0.1414014194674599,0.5114936330549982,0.0027926471282627673,0.00023176472248336748
