family,phi,replicate,scenario,p0_oracle_lambda0_indicator_identical,true_p_rmse_to_025,true_p_range,true_p_neff,theta_obs_raw,theta_obs_clipped,annual_null_raw_median,annual_null_clipped_median,native_null_raw_median,native_null_clipped_median,annual_raw_offset,annual_clipped_offset,native_raw_offset,native_clipped_offset,obs_raw_at_or_above_one,annual_null_ceiling_fraction,native_null_ceiling_fraction,annual_all_ceiling_free,native_all_ceiling_free,runlen_obs,annual_null_runlen_median,native_null_runlen_median,p_annual,p_native,annual_reject_005,native_reject_005,mechanistic_misattribution,native_only,annual_valid_fraction,native_valid_fraction,annual_spectral_error_median,native_spectral_error_median,native_count_exact_fraction,native_month_count_exact_fraction
gaussian,0.2,4,oracle_percentile,True,0.0,0.0,12.0,0.6919912232583654,0.6919912232583654,1.152970795568983,1.0,1.0051903941829314,1.0,0.4609795723106176,0.3080087767416346,0.313199170924566,0.3080087767416346,False,0.8053691275167785,0.5100671140939598,False,False,1.0416666666666667,1.0869565217391304,1.0869565217391304,0.0066666666666666,0.0666666666666666,True,False,True,False,1.0,1.0,0.0114760323969631,0.0002210343337411,1.0,1.0
gaussian,0.2,4,estimated_percentile_15y,True,0.0890821313104434,0.3785406628099494,10.631735795297804,1.2505045676651796,1.0,1.1571366531557614,1.0,0.993468795355588,0.993468795355588,-0.0933679145094181,0.0,-0.2570357723095917,-0.0065312046444121,True,0.785234899328859,0.4966442953020134,False,False,1.0416666666666667,1.0869565217391304,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0101058078785467,0.0002210343337411,1.0,1.0
gaussian,0.2,4,estimated_percentile_30y,True,0.086522881437358,0.198021155128816,11.678344049230349,0.8186263051270064,0.8186263051270064,1.1752136752136753,1.0,1.0564018602885346,1.0,0.3565873700866688,0.1813736948729936,0.2377755551615281,0.1813736948729936,False,0.8456375838926175,0.5771812080536913,False,False,1.1363636363636365,1.0869565217391304,1.0869565217391304,0.0333333333333333,0.1666666666666666,True,False,True,False,1.0,1.0,0.0134007828697848,0.0002210343337411,1.0,1.0
gaussian,0.2,4,estimated_percentile_60y,True,0.0498712404454725,0.1547586791782169,11.522721614594706,1.08597571628232,1.0,1.0728476821192052,1.0,1.0422575155984115,1.0,-0.0131280341631148,0.0,-0.0437182006839083,0.0,True,0.7046979865771812,0.5369127516778524,False,False,1.0,1.0869565217391304,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0119716518241013,0.0002210343337411,1.0,1.0
gaussian,0.2,5,absolute_lambda4,True,0.2976072282674339,0.7897184070772124,4.964583905619271,1.224448492208055,1.0,1.1165458937198067,1.0,1.0269413629160062,1.0,-0.1079025984882482,0.0,-0.1975071292920487,0.0,True,0.738255033557047,0.5503355704697986,False,False,1.1904761904761905,1.0869565217391304,1.1363636363636365,1.0,1.0,False,False,False,False,1.0,1.0,0.0124599648254503,0.0002116417688039,1.0,1.0
gaussian,0.2,5,oracle_percentile,True,0.0,0.0,12.0,0.8028259473346179,0.8028259473346179,1.0502897737894934,1.0,1.0403824986241057,1.0,0.2474638264548755,0.1971740526653821,0.2375565512894878,0.1971740526653821,False,0.5771812080536913,0.5570469798657718,False,False,1.3157894736842106,1.1363636363636365,1.1363636363636365,0.12,0.1066666666666666,False,False,False,False,1.0,1.0,0.007396130577636,0.0002116417688039,1.0,1.0
gaussian,0.2,5,estimated_percentile_15y,True,0.0896360960369689,0.3348441060405564,10.562327637493686,1.26769807782466,1.0,1.067273488177443,1.0,0.9981964778272864,0.9981964778272864,-0.200424589647217,0.0,-0.2695015999973738,-0.0018035221727137,True,0.6040268456375839,0.4966442953020134,False,False,1.0869565217391304,1.1363636363636365,1.1363636363636365,1.0,1.0,False,False,False,False,1.0,1.0,0.0027503752878866,0.0002116417688039,1.0,1.0
gaussian,0.2,5,estimated_percentile_30y,True,0.0667288338502363,0.1827631784317852,11.193261728308851,0.8951925088930739,0.8951925088930739,1.0498932246165793,1.0,1.0826498997630765,1.0,0.1547007157235054,0.1048074911069261,0.1874573908700025,0.1048074911069261,False,0.5906040268456376,0.5906040268456376,False,False,1.0869565217391304,1.0869565217391304,1.1363636363636365,0.2133333333333333,0.2466666666666666,False,False,False,False,1.0,1.0,0.0041924522012394,0.0002116417688039,1.0,1.0
gaussian,0.2,5,estimated_percentile_60y,True,0.044560445470096,0.1629721098401835,11.619221479169044,0.6325146198830409,0.6325146198830409,1.0887742604107782,1.0,1.014994606256742,1.0,0.4562596405277372,0.3674853801169591,0.3824799863737012,0.3674853801169591,False,0.697986577181208,0.5302013422818792,False,False,1.1904761904761905,1.0869565217391304,1.0869565217391304,0.0066666666666666,0.0266666666666666,True,True,False,False,1.0,1.0,0.0060329499364753,0.0002116417688039,1.0,1.0
gaussian,0.2,6,absolute_lambda4,True,0.2976072282674339,0.7897184070772124,4.964583905619271,1.2049415204678362,1.0,1.1755650612589776,1.0,1.07471040802213,1.0,-0.0293764592088585,0.0,-0.1302311124457063,0.0,True,0.8389261744966443,0.610738255033557,False,False,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0047977508701725,0.0002199077766136,1.0,1.0
gaussian,0.2,6,oracle_percentile,True,0.0,0.0,12.0,0.7838997422330756,0.7838997422330756,1.164071856287425,1.0,0.968833836351442,0.968833836351442,0.3801721140543495,0.2161002577669244,0.1849340941183663,0.1849340941183663,False,0.825503355704698,0.4228187919463087,False,False,1.4705882352941178,1.1363636363636365,1.0869565217391304,0.02,0.1466666666666666,True,False,True,False,1.0,1.0,0.0007995858381705,0.0002199077766136,1.0,1.0
gaussian,0.2,6,estimated_percentile_15y,True,0.0872789150891209,0.3148430298697083,11.057566134307985,0.9949127906976744,0.9949127906976744,1.1165899795501022,1.0,1.0616411464468,1.0,0.1216771888524277,0.0050872093023255,0.0667283557491256,0.0050872093023255,False,0.7651006711409396,0.6442953020134228,False,False,1.3157894736842106,1.1363636363636365,1.0869565217391304,0.2266666666666666,0.34,False,False,False,False,1.0,1.0,0.0004710301497295,0.0002199077766136,1.0,1.0
gaussian,0.2,6,estimated_percentile_30y,True,0.0890799741659242,0.3063707555247423,10.98691006425748,0.9026548672566372,0.9026548672566372,1.1526001705029838,1.0,1.092940414507772,1.0,0.2499453032463466,0.0973451327433628,0.190285547251135,0.0973451327433628,False,0.7986577181208053,0.7181208053691275,False,False,1.3157894736842106,1.1363636363636365,1.0869565217391304,0.1133333333333333,0.1133333333333333,False,False,False,False,1.0,1.0,0.0006848746080472,0.0002199077766136,1.0,1.0
gaussian,0.2,6,estimated_percentile_60y,True,0.0516809957223624,0.1901412517886701,11.631698651678052,0.983175940105496,0.983175940105496,1.169971178692109,1.0,1.0820692615912997,1.0,0.1867952385866129,0.0168240598945039,0.0988933214858034,0.0168240598945039,False,0.8389261744966443,0.6577181208053692,False,False,1.25,1.1363636363636365,1.0869565217391304,0.12,0.3066666666666666,False,False,False,False,1.0,1.0,0.0006835349671112,0.0002199077766136,1.0,1.0
gaussian,0.2,7,absolute_lambda4,True,0.2976072282674339,0.7897184070772124,4.964583905619271,0.9634938837920488,0.9634938837920488,1.1697602474864657,1.0,1.0172047788309635,1.0,0.2062663636944167,0.036506116207951,0.0537108950389148,0.036506116207951,False,0.8187919463087249,0.5234899328859061,False,False,1.1904761904761905,1.0869565217391304,1.1363636363636365,0.16,0.4466666666666666,False,False,False,False,1.0,1.0,0.0132978266138478,0.0002231424793848,1.0,1.0
gaussian,0.2,7,oracle_percentile,True,0.0,0.0,12.0,1.126999797488862,1.0,1.1374155405405406,1.0,1.062366167023555,1.0,0.0104157430516786,0.0,-0.0646336304653072,0.0,True,0.8053691275167785,0.5973154362416108,False,False,1.0869565217391304,1.1363636363636365,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0047417517835062,0.0002231424793848,1.0,1.0
gaussian,0.2,7,estimated_percentile_15y,True,0.1192925777571898,0.2981044010851807,10.840345515587796,1.3385061821852131,1.0,1.164071856287425,1.0,1.0560292326431182,1.0,-0.174434325897788,0.0,-0.2824769495420949,0.0,True,0.8926174496644296,0.5973154362416108,False,False,1.1363636363636365,1.0869565217391304,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0043255136069428,0.0002231424793848,1.0,1.0
gaussian,0.2,7,estimated_percentile_30y,True,0.0826755375176727,0.3098105136070074,10.825764360685708,0.8750757231561411,0.8750757231561411,1.1727072594501715,1.0,1.065879231935321,1.0,0.2976315362940306,0.1249242768438588,0.1908035087791798,0.1249242768438588,False,0.8322147651006712,0.6442953020134228,False,False,1.1363636363636365,1.1363636363636365,1.0869565217391304,0.0466666666666666,0.1266666666666666,True,False,True,False,1.0,1.0,0.0050187527675561,0.0002231424793848,1.0,1.0
gaussian,0.2,7,estimated_percentile_60y,True,0.0648714258317143,0.2120944941893617,11.444972687027075,1.397338403041825,1.0,1.1608253250423968,1.0,1.1101871721506915,1.0,-0.2365130779994282,0.0,-0.2871512308911335,0.0,True,0.7651006711409396,0.697986577181208,False,False,1.0,1.0869565217391304,1.0869565217391304,1.0,1.0,False,False,False,False,1.0,1.0,0.0038203479247814,0.0002231424793848,1.0,1.0
