family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.8,4.0,182,1.0,1.0484501116263094,1.0,1.0,False,False,False,False,0.004948887530065199,0.00020686552713188703,1.0,1.0,0.0
gaussian,0.8,4.0,193,0.6472491909385113,0.6472491909385113,0.02,0.07,True,False,True,False,0.005413735000176846,0.00021730157869692692,1.0,0.6472491909385113,0.0
gaussian,0.8,4.0,221,0.9404329608938548,0.9404329608938548,0.2,0.5,False,False,False,False,0.0012109704882994794,0.00022757590465478556,1.0,0.9404329608938548,0.0
gaussian,0.8,4.0,248,0.8980766401882907,0.8980766401882907,0.12,0.31,False,False,False,False,0.001607294329558427,0.00022588721199336487,1.0,0.8980766401882907,0.0
gaussian,0.8,4.0,274,0.6184563968015993,0.6184563968015993,0.01,0.05,True,False,True,False,0.004472363716803596,0.00022087967480262496,1.0,0.6184563968015993,0.0
periodic,0.2,0.0,22,1.0,1.160451197053407,1.0,1.0,False,False,False,False,0.006050599875825678,0.00020145531709523572,1.0,1.0,0.0
periodic,0.2,0.0,23,1.0,1.0829542993285683,1.0,1.0,False,False,False,False,0.002289332077109537,0.00019544220788029245,1.0,1.0,0.0
periodic,0.2,0.0,97,0.7861912393162394,0.7861912393162394,0.08,0.13,False,False,False,False,0.010856207834772426,0.00019474718690461583,1.0,0.7861912393162394,0.0
periodic,0.2,0.0,51,0.9326202230755165,0.9326202230755165,0.21,0.32,False,False,False,False,0.0015908481412015803,0.00019716285103616945,1.0,0.9326202230755164,1.1102230246251565e-16
periodic,0.2,0.0,118,1.0,1.0664388762338648,1.0,1.0,False,False,False,False,0.00036770674714360207,0.00020189775438358922,1.0,1.0,0.0
periodic,0.2,0.0,151,0.8231662591687041,0.8231662591687041,0.13,0.25,False,False,False,False,0.009746720060853128,0.0002066411210659088,1.0,0.8231662591687041,0.0
periodic,0.2,0.0,157,1.0,1.1836244245870566,1.0,1.0,False,False,False,False,0.008212214758840727,0.0002025010735467309,1.0,1.0,0.0
periodic,0.2,0.0,155,1.0,1.2613899613899613,1.0,1.0,False,False,False,False,0.0034529009157869017,0.0001946468721412602,1.0,1.0,0.0
periodic,0.2,0.0,212,0.931369183829138,0.931369183829138,0.17,0.34,False,False,False,False,0.0073354539840434505,0.00019542977201871125,1.0,0.931369183829138,0.0
periodic,0.2,0.0,246,1.0,1.0042331167552667,1.0,1.0,False,False,False,False,0.001804331773846499,0.00019790755518020749,1.0,1.0,0.0
periodic,0.2,0.5,8,1.0,1.17497947454844,1.0,1.0,False,False,False,False,0.00032226244810620744,0.0002061469180367447,1.0,1.0,0.0
