family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.2,4.0,258,1.0,1.105628890319811,1.0,1.0,False,False,False,False,0.005969941040417484,0.00020430606779184502,1.0,1.0,0.0
gaussian,0.5,0.0,23,1.0,1.2271734381826125,1.0,1.0,False,False,False,False,0.0009759861914837848,0.0002065649982601789,1.0,1.0,0.0
gaussian,0.5,0.0,56,1.0,1.267070707070707,1.0,1.0,False,False,False,False,0.0017834781167711913,0.0002088156399463625,1.0,1.0,0.0
gaussian,0.5,0.0,58,1.0,1.1461219563392107,1.0,1.0,False,False,False,False,0.006835762262266287,0.00020755984934978152,1.0,1.0,0.0
gaussian,0.5,0.0,95,1.0,1.1609761435762749,1.0,1.0,False,False,False,False,0.0005799051757739566,0.00020227219016989486,1.0,1.0,0.0
gaussian,0.5,0.0,142,1.0,1.1521594684385381,1.0,1.0,False,False,False,False,0.002093671347984955,0.0002108209659566234,1.0,1.0,0.0
gaussian,0.5,0.0,160,1.0,1.1006477329347284,1.0,1.0,False,False,False,False,0.0007056672194140068,0.00020599698203321772,1.0,1.0,0.0
gaussian,0.5,0.0,190,0.7644394110985278,0.7644394110985278,0.05,0.1,False,False,False,False,0.004602821633295389,0.00020339178144042873,1.0,0.7644394110985278,0.0
gaussian,0.5,0.0,239,0.9238755132512131,0.9238755132512131,0.18,0.22,False,False,False,False,0.000848643921503188,0.00019595580883300563,1.0,0.9238755132512132,1.1102230246251565e-16
gaussian,0.5,0.0,241,1.0,1.0000841750841751,1.0,1.0,False,False,False,False,0.004610426208209791,0.0001975559687852618,1.0,1.0,0.0
gaussian,0.5,0.0,290,1.0,1.0012579449152543,1.0,1.0,False,False,False,False,0.0006262742239211837,0.00020821143833019585,1.0,1.0,0.0
gaussian,0.5,0.5,8,1.0,1.0208814472671286,1.0,1.0,False,False,False,False,0.0018356901836236528,0.0001976205667053416,1.0,1.0,0.0
