family,phi,lambda,observable,block_years,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,native_only_rate,median_null_gap,annual_valid_fraction,native_valid_fraction,annual_spectral_error_median,native_spectral_error_median,exact_total,exact_group
periodic,0.5,2.0,count,50,300,0.11333333333333333,0.06333333333333334,0.05333333333333334,0.0033333333333333335,0.0,1.0,1.0,0.0014727737612699001,0.0051336755347805,1.0,1.0
periodic,0.5,2.0,count,252,300,0.11333333333333333,0.056666666666666664,0.06,0.0033333333333333335,0.0,1.0,1.0,0.0014727737612699001,0.00022991183746775,1.0,1.0
periodic,0.5,2.0,maxrun,50,300,0.06333333333333334,0.03333333333333333,0.03333333333333333,0.0033333333333333335,0.0,1.0,1.0,0.00234815185712765,0.0051336755347805,1.0,1.0
periodic,0.5,2.0,maxrun,252,300,0.06333333333333334,0.02666666666666667,0.03666666666666667,0.0,0.0,1.0,1.0,0.00234815185712765,0.00022991183746775,1.0,1.0
periodic,0.5,4.0,count,50,300,0.24,0.03,0.21,0.0,0.07699974504256299,1.0,1.0,0.0031613694771506,0.00515821485383065,1.0,1.0
periodic,0.5,4.0,count,252,300,0.24,0.04,0.2,0.0,0.07400872044088536,1.0,1.0,0.0031613694771506,0.00023012815170665,1.0,1.0
periodic,0.5,4.0,maxrun,50,300,0.20333333333333334,0.05,0.15333333333333332,0.0,0.024100098921116052,1.0,1.0,0.0037559206271270996,0.00515821485383065,1.0,1.0
periodic,0.5,4.0,maxrun,252,300,0.20333333333333334,0.04,0.16333333333333333,0.0,0.02305317459940215,1.0,1.0,0.0037559206271270996,0.00023012815170665,1.0,1.0
periodic,0.8,0.0,count,50,300,0.05333333333333334,0.04666666666666667,0.013333333333333334,0.006666666666666667,0.0,1.0,1.0,0.0013157917130241,0.0056751167331607,1.0,1.0
periodic,0.8,0.0,count,252,300,0.05333333333333334,0.03,0.023333333333333334,0.0,0.0,1.0,1.0,0.0013157917130241,0.0002487502105231,1.0,1.0
periodic,0.8,0.0,maxrun,50,300,0.056666666666666664,0.056666666666666664,0.016666666666666666,0.016666666666666666,0.0,1.0,1.0,0.0020908620522095,0.0056751167331607,1.0,1.0
periodic,0.8,0.0,maxrun,252,300,0.056666666666666664,0.043333333333333335,0.016666666666666666,0.0033333333333333335,0.0,1.0,1.0,0.0020908620522095,0.0002487502105231,1.0,1.0
periodic,0.8,0.5,count,50,300,0.07333333333333333,0.05,0.023333333333333334,0.0,0.0,1.0,1.0,0.0010878622678266,0.0057380841358291995,1.0,1.0
periodic,0.8,0.5,count,252,300,0.07333333333333333,0.043333333333333335,0.03,0.0,0.0,1.0,1.0,0.0010878622678266,0.00024744353421154996,1.0,1.0
periodic,0.8,0.5,maxrun,50,300,0.06333333333333334,0.043333333333333335,0.023333333333333334,0.0033333333333333335,0.0,1.0,1.0,0.0016046585219434,0.0057380841358291995,1.0,1.0
periodic,0.8,0.5,maxrun,252,300,0.06333333333333334,0.05,0.02,0.006666666666666667,0.0,1.0,1.0,0.0016046585219434,0.00024744353421154996,1.0,1.0
periodic,0.8,1.0,count,50,300,0.07,0.05,0.03,0.01,0.0,1.0,1.0,0.0009466787066278,0.00566582463186365,1.0,1.0
periodic,0.8,1.0,count,252,300,0.07,0.03333333333333333,0.04,0.0033333333333333335,0.0,1.0,1.0,0.0009466787066278,0.00024865127175405,1.0,1.0
periodic,0.8,1.0,maxrun,50,300,0.056666666666666664,0.04666666666666667,0.023333333333333334,0.013333333333333334,0.0,1.0,1.0,0.00119419577103715,0.00566582463186365,1.0,1.0
periodic,0.8,1.0,maxrun,252,300,0.056666666666666664,0.02,0.03666666666666667,0.0,0.0,1.0,1.0,0.00119419577103715,0.00024865127175405,1.0,1.0
periodic,0.8,2.0,count,50,300,0.07666666666666666,0.03333333333333333,0.043333333333333335,0.0,0.0,1.0,1.0,0.00075416385183205,0.00567711726846705,1.0,1.0
periodic,0.8,2.0,count,252,300,0.07666666666666666,0.02666666666666667,0.05,0.0,0.0084669782400399,1.0,1.0,0.00075416385183205,0.00024831237979215,1.0,1.0
periodic,0.8,2.0,maxrun,50,300,0.08333333333333333,0.03333333333333333,0.05333333333333334,0.0033333333333333335,0.0,1.0,1.0,0.0008958980192075999,0.00567711726846705,1.0,1.0
periodic,0.8,2.0,maxrun,252,300,0.08333333333333333,0.02666666666666667,0.056666666666666664,0.0,0.0,1.0,1.0,0.0008958980192075999,0.00024831237979215,1.0,1.0
periodic,0.8,4.0,count,50,300,0.17666666666666667,0.05,0.12666666666666668,0.0,0.0399289991062522,1.0,1.0,0.00133134378573005,0.0057412195122956994,1.0,1.0
periodic,0.8,4.0,count,252,300,0.17666666666666667,0.03666666666666667,0.14,0.0,0.0506444168040947,1.0,1.0,0.00133134378573005,0.00024831598705295005,1.0,1.0
periodic,0.8,4.0,maxrun,50,300,0.15333333333333332,0.04,0.11333333333333333,0.0,0.0478383935814989,1.0,1.0,0.00129149340829855,0.0057412195122956994,1.0,1.0
periodic,0.8,4.0,maxrun,252,300,0.15333333333333332,0.04,0.11333333333333333,0.0,0.05094424384064315,1.0,1.0,0.00129149340829855,0.00024831598705295005,1.0,1.0
tinnov,0.2,0.0,count,50,300,0.11333333333333333,0.043333333333333335,0.07,0.0,0.0,1.0,1.0,0.00235251393073695,0.006139183119731001,1.0,1.0
tinnov,0.2,0.0,count,252,300,0.11333333333333333,0.03666666666666667,0.07666666666666666,0.0,0.0,1.0,1.0,0.00235251393073695,0.00033196964575904996,1.0,1.0
tinnov,0.2,0.0,maxrun,50,300,0.16666666666666666,0.04,0.12666666666666668,0.0,0.009229210576515951,1.0,1.0,0.01502119336274755,0.006139183119731001,1.0,1.0
tinnov,0.2,0.0,maxrun,252,300,0.16666666666666666,0.04,0.12666666666666668,0.0,0.0124337111760904,1.0,1.0,0.01502119336274755,0.00033196964575904996,1.0,1.0
tinnov,0.2,0.5,count,50,300,0.12666666666666668,0.06666666666666667,0.06333333333333334,0.0033333333333333335,0.0,1.0,1.0,0.0025208654771745496,0.00614111660225675,1.0,1.0
tinnov,0.2,0.5,count,252,300,0.12666666666666668,0.06666666666666667,0.06,0.0,0.0,1.0,1.0,0.0025208654771745496,0.0003342155777956,1.0,1.0
tinnov,0.2,0.5,maxrun,50,300,0.11,0.04,0.07,0.0,0.0,1.0,1.0,0.013515442924384401,0.00614111660225675,1.0,1.0
tinnov,0.2,0.5,maxrun,252,300,0.11,0.04666666666666667,0.06333333333333334,0.0,0.0,1.0,1.0,0.013515442924384401,0.0003342155777956,1.0,1.0
tinnov,0.2,1.0,count,50,300,0.16333333333333333,0.04,0.12333333333333334,0.0,0.0,1.0,1.0,0.00189524955210825,0.006112154135857551,1.0,1.0
tinnov,0.2,1.0,count,252,300,0.16333333333333333,0.05,0.11333333333333333,0.0,0.0,1.0,1.0,0.00189524955210825,0.00032975683765214996,1.0,1.0
tinnov,0.2,1.0,maxrun,50,300,0.11,0.05333333333333334,0.056666666666666664,0.0,0.0,1.0,1.0,0.008714949713626699,0.006112154135857551,1.0,1.0
tinnov,0.2,1.0,maxrun,252,300,0.11,0.06333333333333334,0.05,0.0033333333333333335,0.0,1.0,1.0,0.008714949713626699,0.00032975683765214996,1.0,1.0
tinnov,0.2,2.0,count,50,300,0.18666666666666668,0.03333333333333333,0.15333333333333332,0.0,0.01699786165192225,1.0,1.0,0.0034058146722213,0.006155323377935749,1.0,1.0
tinnov,0.2,2.0,count,252,300,0.18666666666666668,0.03666666666666667,0.15,0.0,0.0168100737287053,1.0,1.0,0.0034058146722213,0.00032859734533525,1.0,1.0
tinnov,0.2,2.0,maxrun,50,300,0.16333333333333333,0.08666666666666667,0.07666666666666666,0.0,0.0,1.0,1.0,0.00670228105117285,0.006155323377935749,1.0,1.0
tinnov,0.2,2.0,maxrun,252,300,0.16333333333333333,0.07333333333333333,0.09,0.0,0.0,1.0,1.0,0.00670228105117285,0.00032859734533525,1.0,1.0
tinnov,0.2,4.0,count,50,300,0.13,0.043333333333333335,0.08666666666666667,0.0,0.0,1.0,1.0,0.00654830800501745,0.00615131732777215,1.0,1.0
tinnov,0.2,4.0,count,252,300,0.13,0.04666666666666667,0.08333333333333333,0.0,0.0,1.0,1.0,0.00654830800501745,0.0003317647461821,1.0,1.0
tinnov,0.2,4.0,maxrun,50,300,0.16333333333333333,0.03666666666666667,0.12666666666666668,0.0,0.012196353419523048,1.0,1.0,0.0054449825444162,0.00615131732777215,1.0,1.0
tinnov,0.2,4.0,maxrun,252,300,0.16333333333333333,0.03666666666666667,0.12666666666666668,0.0,0.010961206111451152,1.0,1.0,0.0054449825444162,0.0003317647461821,1.0,1.0
tinnov,0.5,0.0,count,50,300,0.07333333333333333,0.056666666666666664,0.02,0.0033333333333333335,0.0,1.0,1.0,0.0009676487776476,0.0063124994007714,1.0,1.0
tinnov,0.5,0.0,count,252,300,0.07333333333333333,0.05,0.023333333333333334,0.0,0.0,1.0,1.0,0.0009676487776476,0.00033075848917245,1.0,1.0
tinnov,0.5,0.0,maxrun,50,300,0.07333333333333333,0.03666666666666667,0.03666666666666667,0.0,0.0,1.0,1.0,0.00363903274426175,0.0063124994007714,1.0,1.0
tinnov,0.5,0.0,maxrun,252,300,0.07333333333333333,0.05,0.03,0.006666666666666667,0.0,1.0,1.0,0.00363903274426175,0.00033075848917245,1.0,1.0
tinnov,0.5,0.5,count,50,300,0.07666666666666666,0.05333333333333334,0.03,0.006666666666666667,0.0,1.0,1.0,0.0011717821317582,0.0062356604407181,1.0,1.0
tinnov,0.5,0.5,count,252,300,0.07666666666666666,0.04666666666666667,0.03333333333333333,0.0033333333333333335,0.0,1.0,1.0,0.0011717821317582,0.0003246451278338,1.0,1.0
tinnov,0.5,0.5,maxrun,50,300,0.04666666666666667,0.04,0.006666666666666667,0.0,0.0,1.0,1.0,0.0036845757953175504,0.0062356604407181,1.0,1.0
tinnov,0.5,0.5,maxrun,252,300,0.04666666666666667,0.03666666666666667,0.01,0.0,0.0,1.0,1.0,0.0036845757953175504,0.0003246451278338,1.0,1.0
tinnov,0.5,1.0,count,50,300,0.08333333333333333,0.05,0.03333333333333333,0.0,0.0,1.0,1.0,0.00114819668065805,0.00621197748644195,1.0,1.0
tinnov,0.5,1.0,count,252,300,0.08333333333333333,0.05,0.03666666666666667,0.0033333333333333335,0.0,1.0,1.0,0.00114819668065805,0.0003187583058463,1.0,1.0
tinnov,0.5,1.0,maxrun,50,300,0.08666666666666667,0.06333333333333334,0.03,0.006666666666666667,0.0,1.0,1.0,0.00236313411531325,0.00621197748644195,1.0,1.0
tinnov,0.5,1.0,maxrun,252,300,0.08666666666666667,0.06666666666666667,0.02666666666666667,0.006666666666666667,0.0,1.0,1.0,0.00236313411531325,0.0003187583058463,1.0,1.0
tinnov,0.5,2.0,count,50,300,0.07666666666666666,0.02666666666666667,0.05,0.0,0.0,1.0,1.0,0.0015218792570148,0.00623744446051475,1.0,1.0
tinnov,0.5,2.0,count,252,300,0.07666666666666666,0.02666666666666667,0.05,0.0,0.0,1.0,1.0,0.0015218792570148,0.0003226894355511,1.0,1.0
tinnov,0.5,2.0,maxrun,50,300,0.13333333333333333,0.07666666666666666,0.056666666666666664,0.0,0.0,1.0,1.0,0.00236364205531615,0.00623744446051475,1.0,1.0
