branch,n_obs_days,missing_days,neff_realized,p_month_mean,pbar_equalized,native_spectral_error_median,index_spectral_error_median,obs_fs90,p_native_fs90,p_index_fs90,rej_native_fs90,rej_index_fs90,median_native_fs90,median_index_fs90,mean_native_fs90,mean_index_fs90,sd_native_fs90,sd_index_fs90,delta_native_fs90,delta_index_fs90,center_gap_fs90,width_ratio_fs90,obs_fs85,p_native_fs85,p_index_fs85,rej_native_fs85,rej_index_fs85,median_native_fs85,median_index_fs85,mean_native_fs85,mean_index_fs85,sd_native_fs85,sd_index_fs85,delta_native_fs85,delta_index_fs85,center_gap_fs85,width_ratio_fs85,obs_tdiff,p_native_tdiff,p_index_tdiff,rej_native_tdiff,rej_index_tdiff,median_native_tdiff,median_index_tdiff,mean_native_tdiff,mean_index_tdiff,sd_native_tdiff,sd_index_tdiff,delta_native_tdiff,delta_index_tdiff,center_gap_tdiff,width_ratio_tdiff,paired_outcome,exposure_sensitivity_defined,station_id,short_code,station_name,region,neff_frozen,obs_fs90_exposure,p_native_fs90_BY,p_index_fs90_BY,log_width_ratio
equalized,2911,8,11.995467173206412,0.1326006429956727,0.1331523512586772,0.0013688985777191,0.0039325716045593,0.7242704401094058,0.726,0.256,False,False,0.6315052968711505,0.8134143168129574,0.6406382135490177,0.8078749358784528,0.1419081952692355,0.1219224904618305,-0.0927651432382552,0.0891438767035516,0.1819090199418068,0.8591645481116303,0.7522620388156588,0.898,0.508,False,False,0.6011677271139249,0.7479235078230636,0.5951525910725177,0.7474843894788703,0.125756722525683,0.1138636577690795,-0.1510943117017339,-0.0043385309925951,0.1467557807091387,0.905428000048463,1.6992135952659746,0.814,0.08,False,False,1.6042950653310917,1.7209546957967443,1.6030221761568884,1.719670902548044,0.1065796116825023,0.0149393462386682,-0.0949185299348831,0.0217411005307699,0.116659630465653,0.1401707700265596,neither,True,RVI/615,RGAII,Rancagua II,VI,3.4822297303581218,0.7242704401094058,1.0,1.0,-0.1517948175876264
equalized,2918,1,11.998028007387964,0.1285095430914387,0.1282518785870706,0.0019085839715644,0.0010894135512679,0.6224514574894853,0.036,0.002,True,True,0.8692783413747497,0.9967526483469225,0.8546789815461924,0.949748568350286,0.115363072859896,0.0715293580827652,0.2468268838852644,0.3743011908574372,0.1274743069721727,0.6200368654329645,0.7981516620985312,0.366,0.07,False,False,0.8414533106960951,0.9649691283390562,0.8331319086595578,0.9349387342197332,0.1030339680648564,0.0774063164452551,0.0433016485975639,0.166817466240525,0.1235158176429611,0.7512698763239876,1.934586113481582,0.996,0.222,False,False,1.7180844217986588,1.9398511953568656,1.717096967454705,1.9389479741371567,0.0889926610557876,0.0088327220691401,-0.2165016916829232,0.0052650818752835,0.2217667735582067,0.0992522525380267,both,True,RVII/709,CRCI,Curicó,VII,4.124046105090353,0.6224514574894853,1.0,0.2496892021170642,-0.4779763423349486
equalized,2918,1,11.991367406247017,0.0476253309470111,0.045786517940602,0.0025349667440861,0.0520150736881362,0.9963632051231373,0.502,0.384,False,False,0.995873576609418,1.0,0.9301866500566054,0.9627979038182508,0.099108199163907,0.0682349321632349,-0.0004896285137192,0.0036367948768628,0.0041264233905821,0.6884892747408916,0.8479219239305585,0.244,0.08,False,False,0.9467625340069956,1.0,0.9123852500606624,0.962227506936575,0.1022823900527954,0.0636385466574398,0.0988406100764371,0.1520780760694414,0.0532374659930042,0.6221847829777024,1.8767301605119144,0.382,0.156,False,False,1.907484600849,1.9192450376247827,1.901179734905953,1.9161066737399488,0.0987985976949084,0.0398893661553887,0.0307544403370849,0.0425148771128682,0.0117604367757833,0.4037442543321041,neither,True,RVII/711,TALIII,Universidad de Talca,VII,3.8650088626101353,0.9963632051231373,1.0,1.0,-0.3732555386531468
equalized,2909,10,11.99762347786745,0.0800919503768653,0.0791901168868095,0.0015976232447242,0.0052586921822618,1.0,1.0,1.0,False,False,0.9312955692652832,1.0,0.8949502395268817,0.9478835043234114,0.1172792652081564,0.0764273575978019,-0.0687044307347167,0.0,0.0687044307347167,0.6516698195725568,1.0,1.0,1.0,False,False,0.8635888729267337,0.9816969426160482,0.8470129760055874,0.9455869340176448,0.1270490437311308,0.0731358091963081,-0.1364111270732663,-0.0183030573839517,0.1181080696893145,0.5756502138739596,1.842470907881104,0.402,0.234,False,False,1.8670989245756573,1.852757490330212,1.8668744985836068,1.851846408141076,0.0996242345506784,0.0158484403147164,0.024628016694554,0.0102865824491085,-0.0143414342454455,0.1590821790119173,neither,True,RVIII/802,THNI,Consultorio - San Vicente,VIII,4.000882886816626,0.9825180863925084,1.0,1.0,-0.4282172570237275
equalized,2918,1,11.999243499872666,0.1569441166692866,0.1551686337658642,0.0021764373600691,0.0005475897661941,0.7475479249441721,0.16,0.026,False,True,0.9108564040898316,1.0,0.8803073333546493,0.9481893559887152,0.1202234294726692,0.0762626299397774,0.1633084791456596,0.2524520750558279,0.0891435959101683,0.6343408291901526,0.6515718392115709,0.106,0.002,False,True,0.8159974995767513,0.9676535352074191,0.8142956528982817,0.9357584838306438,0.1269550034456765,0.0778068471531937,0.1644256603651803,0.3160816959958482,0.1516560356306678,0.6128694816387152,1.5180337692353094,0.04,0.004,True,True,1.6644112185884008,1.554937080444976,1.667486351195613,1.5538329127892978,0.0789040760895891,0.0075378672317357,0.1463774493530913,0.0369033112096666,-0.1094741381434247,0.0955320384611946,index_only,True,RVIII/804,HPNIII,JUNJI,VIII,4.284718554034862,0.7475479249441721,1.0,0.8988811276214312,-0.4551688835187888
equalized,2913,6,11.997799705127504,0.1201272867070805,0.118332897199226,0.0026439147678947,0.0006153636309894,0.9042600336806144,0.81,0.29,False,False,0.7657049968392022,0.9870913146061776,0.7631658882288471,0.9367570309273634,0.1455508122465283,0.0866113235920302,-0.1385550368414121,0.0828312809255631,0.2213863177669752,0.5950590192882657,0.8652612491809774,0.742,0.292,False,False,0.7761751981649778,0.9407855806291682,0.7678373365786122,0.9141682859455502,0.1356090606230486,0.0944169900411108,-0.0890860510159995,0.0755243314481908,0.1646103824641903,0.6962439648745912,1.7527366714476018,0.684,0.166,False,False,1.7127523858417484,1.7603986842543755,1.7119789814545112,1.7587633975220724,0.0926071652400967,0.008563947134809,-0.0399842856058534,0.0076620128067739,0.0476462984126273,0.092476074746546,neither,True,RVIII/806,THNV,Inpesca,VIII,4.055869457445088,0.9042600336806144,1.0,1.0,-0.5190946862745978
equalized,2915,4,11.99308076260903,0.0552036144438931,0.0526617252954331,0.0031368001967791,0.0288188730525711,0.7135545156285765,0.614,0.1,False,False,0.683118710557735,0.8670806965649479,0.6839647872665899,0.86275293757379,0.1134930235642222,0.1081267394131017,-0.0304358050708415,0.1535261809363713,0.1839619860072129,0.9527170571142208,0.6525474208108859,0.632,0.104,False,False,0.6146287987981892,0.7798336798336798,0.6197407245981413,0.7849498356512707,0.1034859312144688,0.1051340929807177,-0.0379186220126966,0.1272862590227939,0.1652048810354905,1.0159264331576836,1.6803292864277632,0.718,0.014,False,True,1.5930413928328944,1.743843181146565,1.5980354226579625,1.7433711252804416,0.1356562954545955,0.0310766443194776,-0.0872878935948688,0.0635138947188016,0.1508017883136705,0.2290836869408605,neither,True,RVIII/810,CHLI,INIA. Chillán,VIII,4.429356194740295,0.7135545156285765,1.0,1.0,-0.0484373164575763
equalized,2917,2,11.997113005697338,0.0898296071523252,0.0886975846100168,0.0022887019994235,0.0042054102079681,1.0,1.0,1.0,False,False,0.8892208762300672,0.9861342598026558,0.867837258740516,0.9365169342069224,0.127804739661562,0.0883880946460489,-0.1107791237699328,-0.0138657401973442,0.0969133835725886,0.6915869855852568,0.8948453164047914,0.62,0.32,False,False,0.8604927415498064,0.9518082645661416,0.8416589495434623,0.9238653878215246,0.1226835007069666,0.0879621683621165,-0.0343525748549849,0.0569629481613501,0.0913155230163351,0.7169844995882223,1.732713793730446,0.208,0.154,False,False,1.8088472897966552,1.7457688776369285,1.8079661782528704,1.7448548071868974,0.0889723119658096,0.0143585672121648,0.0761334960662092,0.0130550839064824,-0.0630784121597267,0.1613824221818851,neither,True,RVIII/832,CNH,Balneario Curanilahue,VIII,4.466895008970985,1.0,1.0,1.0,-0.368766343185142
equalized,2897,22,11.997159948771598,0.0780338925695958,0.0760842044144848,0.0013941646384677,0.0246879513179478,0.524358115240919,0.236,0.086,False,False,0.6118662767655344,0.6733047655386302,0.6143629428973972,0.6740025389491958,0.1159224630558127,0.1042554957937166,0.0875081615246153,0.1489466502977111,0.0614384887730957,0.8993554229737187,0.6086332416750452,0.734,0.254,False,False,0.5460436083242438,0.666279675607104,0.5479393654143498,0.6694025084063598,0.1035368365196506,0.0953277512056582,-0.0625896333508013,0.0576464339320588,0.1202360672828601,0.9207133848209148,1.495455084630832,0.414,0.012,False,True,1.5206018488750237,1.5649483003048323,1.5286679581573266,1.5654903922841323,0.1284076581375317,0.0329509246568449,0.0251467642441916,0.0694932156740002,0.0443464514298086,0.2566118340196845,neither,False,RVIII/837,THNVI,Nueva Libertad,VIII,4.296592620779175,,1.0,1.0,-0.1060769689450685
equalized,2895,24,11.99176799395147,0.073266153436371,0.0716475353333076,0.0034490709731598,0.0313145464012419,0.7854728778234664,0.204,0.092,False,False,0.9135454595356156,0.9633462352439428,0.8886409459950363,0.9301969891220472,0.1108877734909668,0.0885688544505855,0.1280725817121492,0.1778733574204762,0.049800775708327,0.7987251584395797,0.9889112903225806,0.828,0.624,False,False,0.8574307484155808,0.9265651933021424,0.8527835559301463,0.911575707203583,0.1134899950511579,0.0914912652112593,-0.1314805419069998,-0.0623460970204382,0.0691344448865616,0.8061615049856774,1.739694931224053,0.142,0.08,False,False,1.8424050089872872,1.788802596940323,1.841154751297135,1.78677113488042,0.094584679512712,0.0322810270675911,0.1027100777632341,0.0491076657162699,-0.0536024120469642,0.3412923449537332,neither,False,RVIII/841,HQI,Hualqui,VIII,4.548027716450594,,1.0,1.0,-0.2247383743191516
