station_id,short_code,station_name,region,neff_fixed,neff_equalized,p_native_fixed,p_index_fixed,p_native_equalized,p_index_equalized,center_gap_fixed,center_gap_equalized,width_ratio_fixed,width_ratio_equalized,outcome_fixed,outcome_equalized,delta_index_p,delta_center_gap,delta_width_ratio
RVIII/837,THNVI,Nueva Libertad,VIII,4.296592620779175,11.997159948771598,0.636,0.004,0.236,0.086,0.3151452126640146,0.0614384887730957,1.326264173366376,0.8993554229737187,index_only,neither,0.08199999999999999,-0.25370672389091886,-0.4269087503926573
RVIII/841,HQI,Hualqui,VIII,4.548027716450594,11.99176799395147,0.394,0.002,0.204,0.092,0.3148318877194271,0.049800775708327,1.0544370693680103,0.7987251584395797,index_only,neither,0.09,-0.2650311120111001,-0.2557119109284306
RVIII/854,CHYI,Punteras,VIII,4.851325882558054,11.988762113453957,0.158,0.018,0.172,0.036,0.1402311588910593,0.0356993266101749,0.931786978890794,0.5556260013855775,index_only,index_only,0.018,-0.1045318322808844,-0.3761609775052165
RVIII/873,CHLII,Puren,VIII,4.850638961613428,11.997060071318208,0.624,0.004,0.554,0.392,0.3672883787661406,0.0635423606386113,0.8617488086349943,0.6792468387589938,index_only,neither,0.388,-0.3037460181275293,-0.18250196987600042
RVIII/874,LAII,Los Ángeles Oriente,VIII,5.199355045521616,11.982410920363106,0.444,0.028,1.0,1.0,0.2626663758856908,0.0306018714929519,0.983179595058473,0.3886694887014338,index_only,neither,0.972,-0.2320645043927389,-0.5945101063570392
RVIII/875,LAI,21 de mayo,VIII,5.208727826735544,11.999519302353384,0.766,0.004,0.258,0.18,0.3486247117041244,0.0394075912691322,0.7143209392247379,0.8939752818333164,index_only,neither,0.176,-0.3092171204349922,0.1796543426085785
RX/A01,OS,Osorno,X,5.672571500304316,11.99749242661683,0.564,0.002,1.0,1.0,0.4307747489239598,0.1805289905999182,0.8468079166479348,0.7809609211017039,index_only,neither,0.998,-0.2502457583240416,-0.06584699554623086
RX/A07,PMII,Mirasol,X,5.244669591094444,11.999693155510723,0.888,0.002,0.288,0.044,0.4425638206560002,0.1480395951712748,0.6422409219395004,0.690664947328392,index_only,index_only,0.041999999999999996,-0.2945242254847254,0.04842402538889157
RX/A08,PMI,Alerce,X,4.658716094585288,11.999414794539083,0.796,0.002,0.656,0.244,0.4223702589448802,0.1542219841356921,0.6737213113472844,0.5450504395990435,index_only,neither,0.242,-0.26814827480918807,-0.12867087174824088
RXI/B03,COI,Coyhaique I,XI,5.303878315012322,11.999468225078756,0.726,0.018,1.0,1.0,0.3678802399619083,0.0253857879948642,1.1203481974450695,0.9243219764130822,index_only,neither,0.982,-0.3424944519670441,-0.1960262210319873
RXI/B04,COII,Coyhaique II,XI,5.320691503153492,11.9994989610249,0.634,0.012,0.774,0.55,0.3599106600794256,0.1035715201121014,1.0821557078762971,0.6803321993661681,index_only,neither,0.538,-0.2563391399673242,-0.40182350851012905
RXI/B05,VI,Vialidad,XI,4.222860157818284,11.998315624526215,0.124,0.002,0.194,0.016,0.424357171295374,0.2199773029317363,1.4042863749869785,0.9017757139978568,index_only,index_only,0.014,-0.20437986836363767,-0.5025106609891217
RXIV/E04,LU,La Union,XIV,4.833275114309975,11.997492261304895,0.414,0.002,0.854,0.384,0.467194745945404,0.1783430571597031,1.3619676574172608,0.6427323768872973,index_only,neither,0.382,-0.2888516887857009,-0.7192352805299634
