station_id,short_code,station_name,region,defined,obs_fs90_exposure,p_native_fs90_exposure,p_index_fs90_exposure,rej_native_fs90_exposure,rej_index_fs90_exposure,median_native_fs90_exposure,median_index_fs90_exposure,mean_native_fs90_exposure,mean_index_fs90_exposure,sd_native_fs90_exposure,sd_index_fs90_exposure,delta_native_fs90_exposure,delta_index_fs90_exposure,center_gap_fs90_exposure,width_ratio_fs90_exposure,paired_outcome
RVII/709,CRCI,Curicó,VII,True,0.5961229350005645,0.83,0.002,False,True,0.5451847044394921,0.9843761046306116,0.5405304368289294,0.941359451229316,0.0601821425688666,0.0798201156219418,-0.0509382305610723,0.3882531696300471,0.4391914001911194,1.326308971645568,index_only
RVII/711,TALIII,Universidad de Talca,VII,True,0.6042078164184735,0.138,0.002,False,True,0.6780999994432723,1.0,0.6787314141525294,0.981027178311052,0.0783229757076627,0.0461422548314502,0.0738921830247987,0.3957921835815264,0.3219000005567277,0.5891279591275201,index_only
RVIII/802,THNI,Consultorio - San Vicente,VIII,True,0.6032989021686226,0.608,0.002,False,True,0.5886689582784059,1.0,0.5875909272845653,0.9703023063364328,0.0629204883176314,0.0620490907016455,-0.0146299438902166,0.3967010978313774,0.411331041721594,0.986150812886448,index_only
RVIII/804,HPNIII,JUNJI,VIII,True,0.6194007458528012,0.944,0.014,False,True,0.5408228262686405,0.9538036843104803,0.5362136171921784,0.919427325089837,0.0584870781077991,0.0958820989073979,-0.0785779195841607,0.3344029384576792,0.4129808580418399,1.6393723538500835,index_only
RVIII/806,THNV,Inpesca,VIII,True,0.5118489318882591,0.36,0.002,False,True,0.5286921836619568,1.0,0.5222276978610916,0.963129827384974,0.0664739419322149,0.0646484835280796,0.0168432517736977,0.4881510681117409,0.4713078163380432,0.9725387369685744,index_only
RVIII/810,CHLI,INIA. Chillán,VIII,True,0.5160346655940322,0.28,0.002,False,True,0.5571482864232858,0.881192153210315,0.553169119766255,0.867113190498507,0.0853526143269731,0.1104842622668312,0.0411136208292536,0.3651574876162827,0.3240438667870291,1.294444969706274,index_only
RVIII/832,CNH,Balneario Curanilahue,VIII,True,0.4553941867607141,0.044,0.002,True,True,0.5847184145835652,0.947896803938868,0.5792608185565867,0.9160362863858048,0.0658567987541245,0.0922818580065191,0.1293242278228511,0.4925026171781538,0.3631783893553026,1.40125028474358,both
RVIII/837,THNVI,Nueva Libertad,VIII,False,,,,,,,,,,,,,,,,
RVIII/841,HQI,Hualqui,VIII,False,,,,,,,,,,,,,,,,
RVIII/854,CHYI,Punteras,VIII,True,0.6956586008547833,0.158,0.02,False,True,0.791057757011719,0.92468135980169,0.792745576358746,0.909976724538174,0.0971049204297531,0.0895304724007916,0.0953991561569357,0.2290227589469067,0.1336236027899709,0.9219972788666062,index_only
RVIII/873,CHLII,Puren,VIII,True,0.6509408312847643,0.622,0.002,False,True,0.6323283275426224,1.0,0.6289714913479068,0.9611102072238032,0.0708955993361523,0.0669544599442608,-0.0186125037421419,0.3490591687152357,0.3676716724573776,0.944409252072114,index_only
RVIII/874,LAII,Los Ángeles Oriente,VIII,False,,,,,,,,,,,,,,,,
RVIII/875,LAI,21 de mayo,VIII,True,0.7009909495321368,0.764,0.004,False,True,0.6518600192817012,1.0,0.6505960974671686,0.9755814402464056,0.0755316449614762,0.0518346325295548,-0.0491309302504355,0.2990090504678632,0.3481399807182987,0.6862637846162575,index_only
RX/A01,OS,Osorno,X,True,0.5804232935513486,0.562,0.002,False,True,0.5692252510760402,1.0,0.5640084090874147,0.9693556284997564,0.0830871655781615,0.0634885122566985,-0.0111980424753084,0.4195767064486514,0.4307747489239598,0.76411936566753,index_only
RX/A07,PMII,Mirasol,X,True,0.6431228961200024,0.888,0.002,False,True,0.5574361793439998,1.0,0.548590163076047,0.97945661558648,0.0838269530843189,0.0494366548002096,-0.0856867167760025,0.3568771038799976,0.4425638206560002,0.5897465311721668,index_only
RX/A08,PMI,Alerce,X,True,0.6075246022359583,0.724,0.002,False,True,0.5777198233707732,1.0,0.5710925001168041,0.9766816885584624,0.067888781927373,0.0540923879270885,-0.029804778865185,0.3924753977640417,0.4222801766292268,0.796779473594848,index_only
RXI/B03,COI,Coyhaique I,XI,True,0.6735612019693282,0.726,0.014,False,True,0.6319816586256212,1.0,0.6313231074072452,0.9456385230069694,0.073776461413372,0.082786051840941,-0.041579543343707,0.3264387980306718,0.3680183413743788,1.12212012144479,index_only
RXI/B04,COII,Coyhaique II,XI,True,0.6590349104399102,0.634,0.012,False,True,0.6400893399205744,1.0,0.6379338443819776,0.9514463886796012,0.0758766356835649,0.0794986431169626,-0.0189455705193358,0.3409650895600897,0.3599106600794256,1.047735477472958,index_only
RXI/B05,VI,Vialidad,XI,False,,,,,,,,,,,,,,,,
RXIV/E04,LU,La Union,XIV,False,,,,,,,,,,,,,,,,
