lambda_value,Neff,feature,phi,n,median_target_spectral_distance,median_same_wass_scaled,median_fiber_wass_scaled,median_distance_ratio,median_fiber_minus_same,fraction_fiber_distance_gt_same,sign_test_p,median_same_ks,median_fiber_ks,fraction_fiber_KS_p_lt_005,fraction_same_KS_p_lt_005,median_abs_p_same,median_abs_p_fiber,reject_discord_same,reject_discord_fiber,max_indicator_mismatches,max_annual_count_abs,max_month_multiset_abs,median_specerr_x,median_specerr_xtilde
0.0,12.000000000000002,tdiff_raw,0.8,30,0.41966645748286585,0.09715785261233802,1.9315823065659545,19.907145279781624,1.8309261660799216,1.0,9.313225746154785e-10,0.07228915662650602,1.0,1.0,0.0,,,,,0,0.0,0.0,0.00024375024091726193,0.00022229362113575343
0.0,12.000000000000002,lowfreq_cubic,0.8,30,0.41966645748286585,0.11873670138260946,0.7919979017410552,7.096535942004653,0.7015341173293682,1.0,9.313225746154785e-10,0.08032128514056225,0.3755020080321285,0.9666666666666667,0.03333333333333333,,,,,0,0.0,0.0,0.00024375024091726193,0.00022229362113575343
4.0,4.96458390561927,ferro_segers,0.8,30,0.6487754560256285,0.08010764991805899,0.29741156365908006,2.974554726407384,0.19707409626192485,0.9,4.215165972709656e-06,0.07429718875502009,0.1646586345381526,0.6333333333333333,0.03333333333333333,0.0,0.002,0.0,0.06666666666666667,0,0.0,0.0,0.00024503872965607774,0.0002204895872619445
4.0,4.96458390561927,lag1,0.8,30,0.6487754560256285,0.10062380813900587,1.2202594605286619,11.428623046664235,1.1200229310522452,1.0,9.313225746154785e-10,0.06827309236947791,0.5783132530120482,0.9666666666666667,0.03333333333333333,,,,,0,0.0,0.0,0.00024503872965607774,0.0002204895872619445
4.0,4.96458390561927,tdiff_raw,0.8,30,0.6487754560256285,0.11306285383584347,1.9584048479844376,17.314193027008358,1.8453787682377438,1.0,9.313225746154785e-10,0.07630522088353414,1.0,1.0,0.1,,,,,0,0.0,0.0,0.00024503872965607774,0.0002204895872619445
4.0,4.96458390561927,lowfreq_cubic,0.8,30,0.6487754560256285,0.10242256907401844,0.8390593346873816,8.304108939315535,0.7028781929407601,1.0,9.313225746154785e-10,0.0642570281124498,0.39959839357429716,0.9666666666666667,0.06666666666666667,,,,,0,0.0,0.0,0.00024503872965607774,0.0002204895872619445
0.0,12.000000000000002,ferro_segers,pooled,90,0.34913974888893595,0.08630151814888273,0.17500786778968971,1.9266871664607457,0.08473606683343492,0.7333333333333333,5.451024595544623e-06,0.05622489959839357,0.0963855421686747,0.3,0.03333333333333333,0.0,0.0,0.011111111111111112,0.022222222222222223,0,0.0,0.0,0.00022908623758620254,0.00022218868685157096
0.0,12.000000000000002,lag1,pooled,90,0.34913974888893595,0.10545737853317344,0.6831874942404961,5.272226746254615,0.5435969193901609,0.9222222222222223,6.575937416726011e-18,0.07028112449799197,0.3132530120481928,0.7888888888888889,0.05555555555555555,,,,,0,0.0,0.0,0.00022908623758620254,0.00022218868685157096
0.0,12.000000000000002,tdiff_raw,pooled,90,0.34913974888893595,0.10525388544175521,1.8121346921305288,15.619835474053271,1.6932617179579106,1.0,8.077935669463161e-28,0.07228915662650602,0.9759036144578314,1.0,0.022222222222222223,,,,,0,0.0,0.0,0.00022908623758620254,0.00022218868685157096
0.0,12.000000000000002,lowfreq_cubic,pooled,90,0.34913974888893595,0.11065524450846863,0.6266846350448165,5.357740411284837,0.5004788476339395,0.9666666666666667,9.820831069506532e-23,0.07630522088353414,0.3012048192771084,0.8666666666666667,0.03333333333333333,,,,,0,0.0,0.0,0.00022908623758620254,0.00022218868685157096
4.0,4.96458390561927,ferro_segers,pooled,90,0.4732136333796567,0.09017294699229188,0.3349765374133904,3.3058212568255785,0.25737031891017786,0.9111111111111111,6.919247697040828e-17,0.06626506024096385,0.17269076305220885,0.7,0.011111111111111112,0.0,0.0,0.011111111111111112,0.044444444444444446,0,0.0,0.0,0.00022996866361934035,0.00022096744516616072
4.0,4.96458390561927,lag1,pooled,90,0.4732136333796567,0.10767621856357815,0.5353492826198663,4.553608940702832,0.4269480993587025,0.8777777777777778,3.886880384756633e-14,0.07228915662650602,0.23694779116465864,0.6888888888888889,0.03333333333333333,,,,,0,0.0,0.0,0.00022996866361934035,0.00022096744516616072
4.0,4.96458390561927,tdiff_raw,pooled,90,0.4732136333796567,0.11353613333227336,1.8672450607417999,15.282285774424054,1.7413553601767333,1.0,8.077935669463161e-28,0.07630522088353414,0.9959839357429718,1.0,0.07777777777777778,,,,,0,0.0,0.0,0.00022996866361934035,0.00022096744516616072
4.0,4.96458390561927,lowfreq_cubic,pooled,90,0.4732136333796567,0.0992893865134547,0.3785179533663441,3.9680543703554982,0.2916453231418849,0.9333333333333333,5.40608303118081e-19,0.06827309236947791,0.1927710843373494,0.7555555555555555,0.022222222222222223,,,,,0,0.0,0.0,0.00022996866361934035,0.00022096744516616072
