phi,rep,lambda_value,Neff,feature,obs_feature,indicator_mismatches,annual_count_max_abs,month_multiset_max_abs,native_target_spectral_distance,same_wass,same_wass_scaled,same_ks,same_ks_p,same_mean_diff,same_sd_ratio,fiber_wass,fiber_wass_scaled,fiber_ks,fiber_ks_p,fiber_mean_diff,fiber_sd_ratio,distance_ratio,p_xA,p_xB,p_xtilde,abs_p_same,abs_p_fiber,rej_xA,rej_xB,rej_xtilde,median_specerr_xA,median_specerr_xB,median_specerr_xtilde
0.2,4,0.0,12.000000000000002,tdiff_raw,5.708,0,0.0,0.0,0.3325698050100627,0.04779116465863454,0.09918081993022772,0.060240963855421686,0.7580212891445754,0.01765461847389549,0.9025314094779409,0.8130441767068274,1.2895969772759464,0.6345381526104418,2.1993740987313924e-47,-0.8130441767068275,0.9015862724256184,13.002483526382887,,,,,,False,False,False,0.0002262277966201291,0.00022813166230996665,0.00022489442829216357
0.2,4,0.0,12.000000000000002,lowfreq_cubic,0.08419616233370447,0,0.0,0.0,0.3325698050100627,0.0013656869132603802,0.06194204174938393,0.04819277108433735,0.9353620854703709,-0.0004883251598472166,1.0005371312368618,0.010200156047756316,0.4584040663459853,0.21686746987951808,1.5306841255371312e-05,-0.01002038879529088,0.9669050384683977,7.400532068359486,,,,,,False,False,False,0.0002262277966201291,0.00022813166230996665,0.00022489442829216357
0.2,4,4.0,4.96458390561927,ferro_segers,1.0,0,0.0,0.0,0.4233860574340139,0.011946950187583407,0.10900123440540187,0.0642570281124498,0.6838841078891891,0.011790135661373435,0.8955774476374336,0.0068312694741369,0.06114754302439233,0.060240963855421686,0.7580212891445754,0.005157562504969682,0.9363144199538829,0.5609802802504907,1.0,1.0,1.0,0.0,0.0,False,False,False,0.00022556038516802454,0.0002291336535457513,0.00022752453082548345
0.2,4,4.0,4.96458390561927,lag1,0.04717619985503558,0,0.0,0.0,0.4233860574340139,0.0053974364004672455,0.09732821103033415,0.05622489959839357,0.8271830307385587,-0.00127499659232563,0.912454934569652,0.029954291566762416,0.49809121040726506,0.21686746987951808,1.5306841255371312e-05,0.029954291566762416,1.0106516681641453,5.117644772613981,,,,,,False,False,False,0.00022556038516802454,0.0002291336535457513,0.00022752453082548345
0.2,4,4.0,4.96458390561927,tdiff_raw,2.668,0,0.0,0.0,0.4233860574340139,0.027084337349397608,0.09717191049410764,0.060240963855421686,0.7580212891445754,-0.004112449799197115,0.9664155113155031,0.5348915662650603,1.445728976596699,0.7028112449799196,2.689374118900794e-59,-0.5348915662650606,0.7896375804228303,14.878054462913445,,,,,,False,False,False,0.00022556038516802454,0.0002291336535457513,0.00022752453082548345
0.2,4,4.0,4.96458390561927,lowfreq_cubic,0.05719148962886901,0,0.0,0.0,0.4233860574340139,0.0019045618004248357,0.08052870203318116,0.08433734939759036,0.3391499834431502,-0.001496454598300584,0.9981728009424654,0.007757834491936778,0.31717764411664734,0.1927710843373494,0.0001842653749138924,-0.0075616125424609465,1.042160590544229,3.938690629658393,,,,,,False,False,False,0.00022556038516802454,0.0002291336535457513,0.00022752453082548345
0.2,5,0.0,12.000000000000002,ferro_segers,1.0,0,0.0,0.0,0.3012968741084184,0.01103520222180906,0.13121046191970515,0.0642570281124498,0.6838841078891891,0.0095647894176899,0.9084345766897942,0.038857486709981875,0.36148055583821753,0.18473895582329317,0.000395043106847021,-0.03885748670998179,1.376072648764156,2.7549674816282903,1.0,1.0,1.0,0.0,0.0,False,False,False,0.00022346187145045292,0.0002250515677370232,0.00022347317451243114
0.2,5,0.0,12.000000000000002,lag1,0.0421802722067695,0,0.0,0.0,0.3012968741084184,0.0061899689798792295,0.1249710155112348,0.08433734939759036,0.3391499834431502,-0.0040429361306998516,1.1204980101185278,0.01669155835529658,0.31449745012106683,0.17670682730923695,0.0008192751950161892,-0.01638787147562949,1.237764382943057,2.5165631313349714,,,,,,False,False,False,0.00022346187145045292,0.0002250515677370232,0.00022347317451243114
0.2,5,0.0,12.000000000000002,tdiff_raw,5.468,0,0.0,0.0,0.3012968741084184,0.04112449799196786,0.07388429387376833,0.05220883534136546,0.8874650165235428,0.01625702811244789,0.9793292621595701,1.1923855421686747,1.5084024074851428,0.7630522088353414,1.8847237578455883e-71,-1.1923855421686769,0.8364359400037347,20.415738290227626,,,,,,False,False,False,0.00022346187145045292,0.0002250515677370232,0.00022347317451243114
0.2,5,0.0,12.000000000000002,lowfreq_cubic,0.06239793584093229,0,0.0,0.0,0.3012968741084184,0.0026234867325430856,0.14893859771366325,0.10441767068273092,0.13246100083422654,-0.0017774829878005188,1.0643066792948026,0.02110047470498988,0.942582397798326,0.39357429718875503,1.333370707696652e-17,0.02110047470498988,1.2980107087110109,6.328664377587661,,,,,,False,False,False,0.00022346187145045292,0.0002250515677370232,0.00022347317451243114
0.2,5,4.0,4.96458390561927,ferro_segers,1.0,0,0.0,0.0,0.3764106911091378,0.007453928742880317,0.07685034989629064,0.05622489959839357,0.8271830307385587,0.003296755740187063,1.034178615236502,0.02888552357628168,0.26590974080613344,0.13253012048192772,0.025112389635213027,-0.028885523576281602,1.2452448655823416,3.4600979847843836,1.0,1.0,1.0,0.0,0.0,False,False,False,0.00022105882750982824,0.00022129199061144542,0.0002216203498583712
0.2,5,4.0,4.96458390561927,lag1,0.039916567635920726,0,0.0,0.0,0.3764106911091378,0.004980648436730912,0.0827921235655411,0.060240963855421686,0.7580212891445754,0.000332162720296382,0.9534228217916799,0.009574578018645672,0.16295265107162912,0.11646586345381527,0.06820366751163658,-0.008291473776742275,0.9011227529667951,1.9682144152592997,,,,,,False,False,False,0.00022105882750982824,0.00022129199061144542,0.0002216203498583712
0.2,5,4.0,4.96458390561927,tdiff_raw,2.984,0,0.0,0.0,0.3764106911091378,0.029301204819277112,0.10085289702842898,0.0642570281124498,0.6838841078891891,0.019309236947790964,0.9576157467527647,0.44048192771084343,1.2452085459169875,0.6024096385542169,2.238540355781208e-42,-0.4404819277108438,0.8602183103059126,12.34678013826384,,,,,,False,False,False,0.00022105882750982824,0.00022129199061144542,0.0002216203498583712
0.2,5,4.0,4.96458390561927,lowfreq_cubic,0.11898104223343027,0,0.0,0.0,0.3764106911091378,0.0013717672458490157,0.0685340151526721,0.05622489959839357,0.8271830307385587,0.000690596920719308,0.9694513192522449,0.011622372865868556,0.5061247343510272,0.26104417670682734,7.264743326724155e-08,0.011535351865549937,1.180065294768886,7.385015064760675,,,,,,False,False,False,0.00022105882750982824,0.00022129199061144542,0.0002216203498583712
0.2,6,0.0,12.000000000000002,ferro_segers,1.0,0,0.0,0.0,0.3125688974522503,0.006836596706150845,0.06478324771305034,0.04819277108433735,0.9353620854703709,0.0029943989294690665,0.9898810035277579,0.010470960112178207,0.10169017716145974,0.10441767068273092,0.13246100083422654,0.0005247504875656173,0.9409044354651315,1.569698660553152,1.0,1.0,1.0,0.0,0.0,False,False,False,0.00022848329441275825,0.00023445911634187977,0.00022818862315246224
0.2,6,0.0,12.000000000000002,lag1,0.08502903866038877,0,0.0,0.0,0.3125688974522503,0.005221655849958305,0.09855768948005904,0.0642570281124498,0.6838841078891891,0.0029768898609318587,0.9331411843877557,0.00732224251809338,0.1355127486117047,0.13654618473895583,0.01916707185272444,-0.0053453704256166915,0.9708827880057072,1.3749586595079557,,,,,,False,False,False,0.00022848329441275825,0.00023445911634187977,0.00022818862315246224
